Track Name,Artist,Album,Release Date,Popularity
Toosie Slide,Drake,Dark Lane Demo Tapes,2020-05-01,66
Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,2020-05-01,76
Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,2019-06-15,73
God's Plan,Drake,Scorpion,2018-06-29,81
Nonstop,Drake,Scorpion,2018-06-29,74
I'm Upset,Drake,Scorpion,2018-06-29,61
Mob Ties,Drake,Scorpion,2018-06-29,63
Can’t Take A Joke,Drake,Scorpion,2018-06-29,62
Blue Tint,Drake,Scorpion,2018-06-29,56
Gyalchester,Drake,More Life,2017-03-18,62
Portland,Drake,More Life,2017-03-18,68
Hotline Bling,Drake,Views,2016-05-06,47
Pop Style,Drake,Views,2016-05-06,31
One Dance,Drake,Views,2016-05-06,59
Controlla,Drake,Views,2016-05-06,43
Jumpman,Drake,What A Time To Be Alive,2015-09-20,67
Energy,Drake,If You're Reading This It's Too Late,2015-02-12,67
Started From the Bottom,Drake,Nothing Was The Same (Deluxe),2013-01-01,62
STARGAZING,Travis Scott,ASTROWORLD,2018-08-03,73
SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,81
YOSEMITE,Travis Scott,ASTROWORLD,2018-08-03,72
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2018-08-03,83
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,85
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,85
Oh My Dis Side (feat. Quavo),Travis Scott,Rodeo,2015-09-04,63
THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,71
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,2019-12-06,81
EARFQUAKE,"Tyler, The Creator",IGOR,2019-05-17,82
Jocelyn Flores,XXXTENTACION,17,2017-08-25,80
SAD!,XXXTENTACION,?,2018-03-16,79
Moonlight,XXXTENTACION,?,2018-03-16,82
changes,XXXTENTACION,?,2018-03-16,74
Fuck Love,XXXTENTACION,17,2017-08-25,84
the remedy for a broken heart (why am I so in love),XXXTENTACION,?,2018-03-16,74
"Psycho, Pt. 2",Russ,"Psycho, Pt. 2",2016-11-08,67
Losin Control,Russ,There's Really A Wolf,2017-05-05,70
Pull The Trigger,Russ,There's Really A Wolf,2017-05-05,58
3AM,Russ,SHAKE THE SNOW GLOBE (DELUXE),2020-05-19,50
I Love It (& Lil Pump),Kanye West,I Love It,2018-09-07,67
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2018-10-25,67
Gucci Gang,Lil Pump,Lil Pump,2017-10-06,57
Esskeetit,Lil Pump,Harverd Dropout,2019-02-22,45
Magnolia,Playboi Carti,Playboi Carti,2017-04-14,77
wokeuplikethis*,Playboi Carti,Playboi Carti,2017-04-14,70
Shoota (feat. Lil Uzi Vert),Playboi Carti,Die Lit,2018-05-11,74
Pain 1993 (with Playboi Carti),Drake,Dark Lane Demo Tapes,2020-05-01,73
Mask Off,Future,FUTURE,2017-06-30,81
Life Is Good (feat. Drake),Future,High Off Life,2020-05-15,67
Solitaires (feat. Travis Scott),Future,High Off Life,2020-05-15,60
Low Life (feat. The Weeknd),Future,EVOL,2016-04-13,80
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,83
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,80
DNA.,Kendrick Lamar,DAMN.,2017-04-14,78
Pray For Me (with Kendrick Lamar),The Weeknd,Black Panther The Album Music From And Inspired By,2018-02-09,66
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,Black Panther The Album Music From And Inspired By,2018-02-09,57
Big Shot (with Travis Scott),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,59
ELEMENT.,Kendrick Lamar,DAMN.,2017-04-14,69
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,2017-04-14,75
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2012-10-22,64
1-800-273-8255,Logic,Everybody,2017-05-05,73
Homicide (feat. Eminem),Logic,Confessions of a Dangerous Mind,2019-05-10,66
Ballin,Logic,Uncle Drew (Original Motion Picture Soundtrack),2018-06-15,62
Everyday,Logic,Bobby Tarantino II,2018-03-09,61
Keanu Reeves,Logic,Confessions of a Dangerous Mind,2019-05-10,56
One Day (feat. Ryan Tedder),Logic,One Day (feat. Ryan Tedder),2018-07-27,37
Under Pressure,Logic,Under Pressure (Deluxe),2014-10-21,54
"Me, Myself & I",G-Eazy,When It's Dark Out,2015-12-04,79
Him & I (with Halsey),G-Eazy,The Beautiful & Damned,2017-12-15,77
No Limit,G-Eazy,The Beautiful & Damned,2017-12-15,66
Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),2020-02-07,59
I Mean It (feat. Remo),G-Eazy,These Things Happen,2014-06-20,65
RAP DEVIL,mgk,BINGE,2018-09-21,51
Bad Things (with Camila Cabello),mgk,bloom,2017-05-12,69
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,2020-01-17,82
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),2013-11-05,76
Berzerk,Eminem,The Marshall Mathers LP2 (Deluxe),2013-11-05,66
The Monster,Eminem,The Marshall Mathers LP2 (Deluxe),2013-11-05,54
Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),2018-02-09,5
Both (feat. Drake),Gucci Mane,The Return of East Atlanta Santa,2016-12-16,64
POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),2020-07-17,65
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],2019-10-31,46
Friends & Family,NAV,Emergency Tsunami,2020-11-06,49
Repercussions (with Young Thug),NAV,Emergency Tsunami,2020-11-06,42
Whoopty,CJ,Whoopty,2020-08-20,63
Dior (with Gunna) - Remix,Pop Smoke,Meet The Woo 2 (Deluxe),2020-02-12,50
What's Next,Drake,Scary Hours 2,2021-03-05,47
2nd Hand,$uicideboy$,KILL YOURSELF Part XII: The Dark Glacier Saga,2017-05-26,67
Rag Round My Skull,$uicideboy$,7th or St. Tammany,2015-04-02,51
Many Men,21 Savage,SAVAGE MODE II,2020-10-02,66
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,TESTING,2018-05-25,81
BOP,DaBaby,Pop Hits 2019 Vol. III,2021-05-14,0
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2020-06-24,64
WHATS POPPIN,Jack Harlow,Sweet Action,2020-03-13,73
CrasH,ScHoolboy Q,CrasH Talk,2019-04-26,58
Said N Done,21 Savage,SAVAGE MODE II,2020-10-02,57
née-nah,21 Savage,née-nah,2024-01-10,60
