Track Name,Artist,Album,Release Date,Popularity,Release Year,Popularity Scaled,Track Name Length
Toosie Slide,Drake,Dark Lane Demo Tapes,2020-05-01,66,2020,0.7764705882352941,12
Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,2020-05-01,76,2020,0.8941176470588235,32
Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,2019-06-15,73,2019,0.8588235294117647,40
God's Plan,Drake,Scorpion,2018-06-29,81,2018,0.9529411764705882,10
Nonstop,Drake,Scorpion,2018-06-29,74,2018,0.8705882352941177,7
I'm Upset,Drake,Scorpion,2018-06-29,61,2018,0.7176470588235294,9
Mob Ties,Drake,Scorpion,2018-06-29,63,2018,0.7411764705882353,8
Can’t Take A Joke,Drake,Scorpion,2018-06-29,62,2018,0.7294117647058823,17
Blue Tint,Drake,Scorpion,2018-06-29,56,2018,0.6588235294117647,9
Gyalchester,Drake,More Life,2017-03-18,62,2017,0.7294117647058823,11
Portland,Drake,More Life,2017-03-18,68,2017,0.8,8
Hotline Bling,Drake,Views,2016-05-06,47,2016,0.5529411764705883,13
Pop Style,Drake,Views,2016-05-06,31,2016,0.36470588235294116,9
One Dance,Drake,Views,2016-05-06,59,2016,0.6941176470588235,9
Controlla,Drake,Views,2016-05-06,43,2016,0.5058823529411764,9
Jumpman,Drake,What A Time To Be Alive,2015-09-20,67,2015,0.788235294117647,7
Energy,Drake,If You're Reading This It's Too Late,2015-02-12,67,2015,0.788235294117647,6
Started From the Bottom,Drake,Nothing Was The Same (Deluxe),2013-01-01,62,2013,0.7294117647058823,23
STARGAZING,Travis Scott,ASTROWORLD,2018-08-03,73,2018,0.8588235294117647,10
SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,81,2018,0.9529411764705882,10
YOSEMITE,Travis Scott,ASTROWORLD,2018-08-03,72,2018,0.8470588235294118,8
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2018-08-03,83,2018,0.9764705882352941,16
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,85,2016,1.0,10
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,85,2019,1.0,19
Oh My Dis Side (feat. Quavo),Travis Scott,Rodeo,2015-09-04,63,2015,0.7411764705882353,28
THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,71,2020,0.8352941176470589,10
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,2019-12-06,81,2019,0.9529411764705882,7
EARFQUAKE,"Tyler, The Creator",IGOR,2019-05-17,82,2019,0.9647058823529412,9
